Symbol
BTC
ETH
USDT
SOL
BNB
XRP
USDC
ADA
stETH
AVAX
DOGE
DOT
TRX
WTRX
LINK
MATIC
TON
WBTC
SHIB
DAI
LTC
WEOS
BCH
ATOM
ICP
UNI
NEAR
LEO
XLM
INJ
OKB
XMR
OP
APT
IMX
ETC
WHBAR
HBAR
FIL
VET
CRO
TUSD
KAS
BTCB
LDO
STX
EGLD
RUNE
MNT
ALGO
WBETH
FDUSD
GRT
RNDR
ARB
QNT
FTM
ORDI
FLOW
AAVE
THETA
AXS
MKR
SAND
MINA
SNX
FTT
HNT
BONK
WEMIX
BTT
MANA
KCS
NEO
BUSD
XTZ
BSV
EOS
GALA
KAVA
LUNC
HEX
IOTA
ROSE
BGB
WOO
SUI
KLAY
CAKE
OSMO
USDD
CFX
AR
CHZ
XDC
APE
CRV
XEC
FRAX
FXS
BLUR
FET
LUNA
PEPE
ASTR
AXL
RPL
WBNB
ETHDYDX
AKT
RON
TWT
FLR
GT
CSPR
ZEC
XAUt
NEXO
GNO
ELF
1INCH
IOTX
GAS
GMT
XRD
COMP
CORE
ZIL
TRB
NFT
RAY
PAXG
RLB
GMX
AGIX
KSM
WKAVA
HT
AZERO
HBTC
GLMR
DASH
ILV
HOT
ENJ
LRC
BAT
SC
WLD
CELO
USDP
CFG
XCH
XEM
KDA
ETHW
QTUM
JASMY
FLOKI
SFP
DESO
CVX
SUPER
STORJ
NTRN
WAVES
TFUEL
USTC
OCEAN
ANKR
ZRX
ONE
RVN
MASK
ENS
SUSHI
BTG
AUDIO
JST
YFI
PENDLE
SKL
MX
BDX
LYX
LPT
MAGIC
AUCTION
MOVR
JOE
ICX
BAND
BICO
METIS
TRAC
DCR
FNSA
WAXP
T
GLM
ALEX
ANT
SSV
SXP
BAL
FLUX
PYR
ONT
BabyDoge
EDGT
POWR
SFUND
C98
GAL
DAO
XVS
STRAX
IOST
BORG
BAKE
TNC
HIVE
ARK
TRIBE
POLY
LUSD
XYM
CELR
VTHO
UMA
USDJ
RBN
SNT
CTSI
EDU
AMP
TEL
BONE
DGB
OAS
API3
CKB
TOMI
ACH
BORA
LYXe
RSR
ZEN
POLYX
VVS
XNO
ID
LSK
DEXE
BTRST
BLZ
RIF
CTC
AIOZ
GUSD
SCRT
SLP
HOOK
DENT
LOOM
ONG
RBTC
SNEK
EURS
LQTY
CQT
CHR
SURE
POLIS
NAKA
GNS
POND
ORBS
DODO
PLA
OMG
YGG
PUNDIX
DKA
STPT
0x0
WILD
MLK
GAFI
STG
RLC
DFI
ERG
RDNT
KEEP
KNC
NYM
AGLD
ALPHA
STEEM
AURORA
MOB
MTL
CVC
BNX
NMR
POLS
GOG
ALICE
SLND
HFT
GF
PROM
MVL
CTK
ACA
ARDR
XPLA
ELON
XYO
REQ
MED
BNT
USDX
ATLAS
SYS
ARKM
GODS
IQ
OXT
WNXM
MBOX
GMT
NKN
TON
HIGH
HELLO
WIN
UQC
COTI
MAV
RAD
DEL
NXRA
QI
OGN
LOOKS
SDEX
ASTRAFER
BFC
GTC
ELA
MBL
VRSC
RARE
CTXC
STMX
ROUTE
MBX
ALI
UOS
VEGA
WMT
PHA
MRS
BRISE
VIC
SWEAT
BADGER
BITCOIN
EWT
ABBC
FUN
HPO
DIMO
QKC
DEGO
DAG
ankrETH
META
MDX
DUSK
CBK
